transaction_id,amount,fraud_probability,prediction,actual_class,correct,timestamp
69,99.99,0.9997,1,1,1,2026-05-15 21:28:51
70,0.77,0.0072,0,0,1,2026-05-15 21:28:51
71,1.0,0.948,1,1,1,2026-05-15 21:28:51
72,4.18,0.0404,0,0,1,2026-05-15 21:28:51
73,9.99,0.0183,0,0,1,2026-05-15 21:28:51
74,0.89,0.0062,0,0,1,2026-05-15 21:28:51
75,600.73,0.9977,1,1,1,2026-05-15 21:28:51
76,1.0,0.9923,1,1,1,2026-05-15 21:28:51
77,443.0,0.085,0,0,1,2026-05-15 21:28:52
78,3.79,0.8699,1,1,1,2026-05-15 21:28:52
79,0.99,0.0251,0,0,1,2026-05-15 21:28:52
80,30.31,0.9997,1,1,1,2026-05-15 21:28:52
81,4.49,0.0036,0,0,1,2026-05-15 21:28:52
82,99.99,0.9997,1,1,1,2026-05-15 21:28:52
83,252.92,0.9997,1,1,1,2026-05-15 21:28:52
84,99.99,0.9997,1,1,1,2026-05-15 21:28:52
85,1.0,0.9996,1,1,1,2026-05-15 21:28:52
86,87.0,0.0028,0,0,1,2026-05-15 21:28:52
87,541.0,0.0266,0,0,1,2026-05-15 21:28:52
88,15.0,0.0059,0,0,1,2026-05-15 21:28:52
89,1.0,0.0139,0,0,1,2026-05-15 21:28:52
90,1.0,0.7718,1,1,1,2026-05-15 21:28:52
91,480.72,0.8929,1,1,1,2026-05-15 21:28:53
92,0.0,0.9989,1,1,1,2026-05-15 21:28:53
93,56.89,0.025,0,0,1,2026-05-15 21:28:53
94,1354.25,0.9989,1,1,1,2026-05-15 21:28:53
95,1.0,0.0187,0,0,1,2026-05-15 21:28:53
96,237.26,0.9914,1,1,1,2026-05-15 21:28:53
97,11.99,0.03,0,0,1,2026-05-15 21:28:53
98,19.02,0.9969,1,1,1,2026-05-15 21:28:53
99,99.99,0.9997,1,1,1,2026-05-15 21:28:53
100,49.16,0.0707,0,0,1,2026-05-15 21:28:53
101,12.31,0.1068,0,0,1,2026-05-15 21:28:53
102,186.13,0.9994,1,1,1,2026-05-15 21:28:53
103,63.22,0.1036,0,0,1,2026-05-15 21:28:53
104,1.0,0.9834,1,1,1,2026-05-15 21:28:53
105,29.0,0.0259,0,0,1,2026-05-15 21:28:54
106,0.77,0.026,0,0,1,2026-05-15 21:28:54
107,60.0,0.0249,0,0,1,2026-05-15 21:28:54
108,112.75,0.0335,0,0,1,2026-05-15 21:28:54
109,99.99,0.9997,1,1,1,2026-05-15 21:28:54
110,0.0,0.0677,0,0,1,2026-05-15 21:28:54
111,15.0,0.0046,0,0,1,2026-05-15 21:28:54
112,10.0,0.018,0,0,1,2026-05-15 21:28:54
113,294.54,0.0155,0,0,1,2026-05-15 21:28:54
114,98.23,0.0123,0,0,1,2026-05-15 21:28:54
115,0.0,0.9996,1,1,1,2026-05-15 21:28:54
116,1.1,0.9889,1,1,1,2026-05-15 21:28:54
117,153.46,0.9997,1,1,1,2026-05-15 21:28:54
118,4.0,0.4048,0,0,1,2026-05-15 21:28:54
119,7.99,0.0269,0,0,1,2026-05-15 21:28:55
120,75.86,0.9996,1,1,1,2026-05-15 21:28:55
121,89.93,0.0064,0,0,1,2026-05-15 21:28:55
122,1.59,0.9995,1,1,1,2026-05-15 21:28:55
123,1.0,0.0289,0,0,1,2026-05-15 21:28:55
124,60.0,0.9737,1,1,1,2026-05-15 21:28:55
125,0.76,0.7807,1,1,1,2026-05-15 21:28:55
126,11.71,0.1659,0,0,1,2026-05-15 21:28:55
127,20.5,0.0315,0,0,1,2026-05-15 21:28:55
128,1.0,0.9997,1,1,1,2026-05-15 21:28:55
129,5.05,0.0186,0,0,1,2026-05-15 21:28:55
130,59.95,0.007,0,0,1,2026-05-15 21:28:55
131,15.98,0.0108,0,0,1,2026-05-15 21:28:55
132,1.99,0.0036,0,0,1,2026-05-15 21:28:55
133,0.0,0.9997,1,1,1,2026-05-15 21:28:55
134,3.5,0.0326,0,0,1,2026-05-15 21:28:56
135,0.77,0.0206,0,0,1,2026-05-15 21:28:56
136,1.0,0.9996,1,1,1,2026-05-15 21:28:56
137,459.07,0.9994,1,1,1,2026-05-15 21:28:56
138,0.0,0.9721,1,1,1,2026-05-15 21:28:56
139,1.0,0.9996,1,1,1,2026-05-15 21:28:56
140,99.99,0.9997,1,1,1,2026-05-15 21:28:56
141,1218.89,0.9896,1,1,1,2026-05-15 21:28:56
142,99.85,0.9997,1,1,1,2026-05-15 21:28:56
143,7.99,0.0095,0,0,1,2026-05-15 21:28:56
144,451.27,0.8537,1,1,1,2026-05-15 21:28:56
145,71.38,0.0134,0,0,1,2026-05-15 21:28:56
146,2.29,0.0116,0,0,1,2026-05-15 21:28:56
147,10.0,0.0169,0,0,1,2026-05-15 21:28:56
148,30.14,0.7477,1,1,1,2026-05-15 21:28:57
149,0.0,0.0078,0,0,1,2026-05-15 21:28:57
150,33.76,0.6103,1,1,1,2026-05-15 21:28:57
151,72.6,0.0156,0,0,1,2026-05-15 21:28:57
152,0.76,0.9996,1,1,1,2026-05-15 21:28:57
153,5.38,0.1734,0,0,1,2026-05-15 21:28:57
154,122.68,0.9996,1,1,1,2026-05-15 21:28:57
155,22.0,0.0097,0,0,1,2026-05-15 21:28:57
156,7.06,0.9713,1,1,1,2026-05-15 21:28:57
157,104.03,0.9997,1,1,1,2026-05-15 21:28:57
158,49.99,0.1512,0,0,1,2026-05-15 21:28:57
159,3.76,0.9711,1,1,1,2026-05-15 21:28:57
160,22.5,0.0062,0,0,1,2026-05-15 21:28:57
161,94.29,0.0608,0,0,1,2026-05-15 21:28:57
162,18.56,0.0247,0,0,1,2026-05-15 21:28:58
163,20.39,0.0114,0,0,1,2026-05-15 21:28:58
164,114.02,0.0654,0,0,1,2026-05-15 21:28:58
165,6.89,0.0195,0,0,1,2026-05-15 21:28:58
166,440.2,0.0174,0,0,1,2026-05-15 21:28:58
167,44.9,0.9997,1,1,1,2026-05-15 21:28:58
168,0.76,0.066,0,0,1,2026-05-15 21:28:58
169,11.4,0.9996,1,1,1,2026-05-15 21:28:58
170,1.0,0.9997,1,1,1,2026-05-15 21:28:58
171,2125.87,0.8583,1,1,1,2026-05-15 21:28:58
172,0.38,0.999,1,1,1,2026-05-15 21:28:58
173,112.33,0.9997,1,1,1,2026-05-15 21:28:58
174,68.89,0.0066,0,0,1,2026-05-15 21:28:58
175,349.08,0.9984,1,1,1,2026-05-15 21:28:58
176,45.51,0.9997,1,1,1,2026-05-15 21:28:58
177,1.0,0.926,1,1,1,2026-05-15 21:28:59
178,106.9,0.9996,1,1,1,2026-05-15 21:28:59
179,0.0,0.0155,0,0,1,2026-05-15 21:28:59
180,40.72,0.0122,0,0,1,2026-05-15 21:28:59
181,15.0,0.0153,0,0,1,2026-05-15 21:28:59
182,118.66,0.0442,0,0,1,2026-05-15 21:28:59
183,2.0,0.9995,1,1,1,2026-05-15 21:28:59
184,16.3,0.0357,0,0,1,2026-05-15 21:28:59
185,16.88,0.0716,0,0,1,2026-05-15 21:28:59
186,99.99,0.9996,1,1,1,2026-05-15 21:28:59
187,635.1,0.2261,0,1,0,2026-05-15 21:28:59
188,3.22,0.7293,1,1,1,2026-05-15 21:28:59
189,2.99,0.019,0,0,1,2026-05-15 21:28:59
190,467.5,0.0764,0,0,1,2026-05-15 21:28:59
191,1090.4,0.1228,0,0,1,2026-05-15 21:28:59
192,1.56,0.0603,0,0,1,2026-05-15 21:29:00
193,1.79,0.003,0,0,1,2026-05-15 21:29:00
194,18.98,0.9976,1,1,1,2026-05-15 21:29:00
195,1.0,0.9991,1,1,1,2026-05-15 21:29:00
196,2.0,0.9989,1,1,1,2026-05-15 21:29:00
197,0.76,0.9943,1,1,1,2026-05-15 21:29:00
198,1.0,0.9835,1,1,1,2026-05-15 21:29:00
199,120.0,0.023,0,0,1,2026-05-15 21:29:00
200,99.99,0.9997,1,1,1,2026-05-15 21:29:00
201,1.0,0.998,1,1,1,2026-05-15 21:29:00
202,11.76,0.2553,0,0,1,2026-05-15 21:29:00
203,84.0,0.0298,0,0,1,2026-05-15 21:29:00
204,1.29,0.0115,0,0,1,2026-05-15 21:29:00
205,5.49,0.0071,0,0,1,2026-05-15 21:29:00
206,285.55,0.0874,0,0,1,2026-05-15 21:29:00
207,99.99,0.9997,1,1,1,2026-05-15 21:29:01
208,1.4,0.0098,0,0,1,2026-05-15 21:29:01
209,57.0,0.0805,0,0,1,2026-05-15 21:29:01
210,1.29,0.0153,0,0,1,2026-05-15 21:29:01
211,99.99,0.9997,1,1,1,2026-05-15 21:29:01
212,1.0,0.9973,1,1,1,2026-05-15 21:29:01
213,11.5,0.0164,0,0,1,2026-05-15 21:29:01
214,7.69,0.0291,0,0,1,2026-05-15 21:29:01
215,43.92,0.0481,0,0,1,2026-05-15 21:29:01
216,1.0,0.9996,1,1,1,2026-05-15 21:29:01
217,57.01,0.0136,0,0,1,2026-05-15 21:29:01
218,219.8,0.9996,1,1,1,2026-05-15 21:29:01
219,17.5,0.007,0,0,1,2026-05-15 21:29:01
220,189.03,0.0243,0,0,1,2026-05-15 21:29:01
221,188.52,0.9997,1,1,1,2026-05-15 21:29:01
222,150.0,0.0229,0,0,1,2026-05-15 21:29:02
223,101.65,0.1637,0,0,1,2026-05-15 21:29:02
224,1.0,0.9996,1,1,1,2026-05-15 21:29:02
225,1.29,0.0119,0,0,1,2026-05-15 21:29:02
226,239.93,0.909,1,1,1,2026-05-15 21:29:02
227,0.99,0.0123,0,0,1,2026-05-15 21:29:02
228,0.0,0.9996,1,1,1,2026-05-15 21:29:02
229,4.99,0.0501,0,0,1,2026-05-15 21:29:02
230,79.0,0.0599,0,0,1,2026-05-15 21:29:02
231,346.94,0.9996,1,1,1,2026-05-15 21:29:02
232,12.0,0.2004,0,0,1,2026-05-15 21:29:02
233,12.31,0.9248,1,1,1,2026-05-15 21:29:02
234,69.99,0.021,0,0,1,2026-05-15 21:29:02
235,1.0,0.9996,1,1,1,2026-05-15 21:29:02
236,30.39,0.9997,1,1,1,2026-05-15 21:29:02
237,19.59,0.4128,0,1,0,2026-05-15 21:29:03
238,1.29,0.0027,0,0,1,2026-05-15 21:29:03
239,1.0,0.954,1,1,1,2026-05-15 21:29:03
240,1.0,0.9971,1,1,1,2026-05-15 21:29:03
241,59.0,0.9393,1,1,1,2026-05-15 21:29:03
242,101.5,0.9994,1,1,1,2026-05-15 21:29:03
243,10.74,0.0129,0,0,1,2026-05-15 21:29:03
244,114.12,0.1076,0,0,1,2026-05-15 21:29:03
245,30.31,0.9997,1,1,1,2026-05-15 21:29:03
246,0.76,0.9997,1,1,1,2026-05-15 21:29:03
247,0.0,0.9989,1,1,1,2026-05-15 21:29:03
248,99.99,0.9997,1,1,1,2026-05-15 21:29:03
249,30.3,0.948,1,1,1,2026-05-15 21:29:03
250,38.76,0.986,1,1,1,2026-05-15 21:29:03
251,0.68,0.9939,1,1,1,2026-05-15 21:29:04
252,8.49,0.007,0,0,1,2026-05-15 21:29:04
253,0.99,0.0131,0,0,1,2026-05-15 21:29:04
254,2.49,0.0134,0,0,1,2026-05-15 21:29:04
255,120.54,0.9796,1,1,1,2026-05-15 21:29:04
256,1.63,0.9996,1,1,1,2026-05-15 21:29:04
257,136.0,0.0098,0,0,1,2026-05-15 21:29:04
258,21.44,0.0332,0,0,1,2026-05-15 21:29:04
259,59.99,0.1194,0,0,1,2026-05-15 21:29:04
260,1.0,0.9994,1,1,1,2026-05-15 21:29:04
261,484.0,0.0567,0,0,1,2026-05-15 21:29:04
262,0.77,0.9996,1,1,1,2026-05-15 21:29:04
263,9.13,0.9997,1,1,1,2026-05-15 21:29:04
264,0.0,0.9997,1,1,1,2026-05-15 21:29:04
265,65.0,0.9996,1,1,1,2026-05-15 21:29:04
266,0.89,0.0587,0,0,1,2026-05-15 21:29:05
267,74.95,0.0048,0,0,1,2026-05-15 21:29:05
268,276.17,0.9075,1,1,1,2026-05-15 21:29:05
269,8.99,0.0093,0,0,1,2026-05-15 21:29:05
270,723.21,0.933,1,1,1,2026-05-15 21:29:05
271,245.0,0.9995,1,1,1,2026-05-15 21:29:05
272,88.23,0.9997,1,1,1,2026-05-15 21:29:05
273,1.5,0.0105,0,0,1,2026-05-15 21:29:05
274,254.76,0.9997,1,1,1,2026-05-15 21:29:05
275,30.39,0.1198,0,0,1,2026-05-15 21:29:05
276,1.0,0.9996,1,1,1,2026-05-15 21:29:05
277,113.92,0.9996,1,1,1,2026-05-15 21:29:05
278,1.0,0.0524,0,0,1,2026-05-15 21:29:05
279,0.68,0.99,1,1,1,2026-05-15 21:29:05
280,44.0,0.0087,0,0,1,2026-05-15 21:29:06
281,16.53,0.0086,0,0,1,2026-05-15 21:29:06
282,1.46,0.008,0,0,1,2026-05-15 21:29:06
283,238.9,0.9995,1,1,1,2026-05-15 21:29:06
284,261.22,0.8382,1,1,1,2026-05-15 21:29:06
285,290.18,0.6486,1,1,1,2026-05-15 21:29:06
286,69.99,0.0396,0,0,1,2026-05-15 21:29:06
287,105.89,0.9867,1,1,1,2026-05-15 21:29:06
288,247.86,0.9854,1,1,1,2026-05-15 21:29:06
289,1.0,0.9996,1,1,1,2026-05-15 21:29:06
290,14.38,0.0043,0,0,1,2026-05-15 21:29:06
291,45.0,0.0425,0,0,1,2026-05-15 21:29:06
292,100.0,0.0105,0,0,1,2026-05-15 21:29:06
293,11.85,0.023,0,0,1,2026-05-15 21:29:06
294,0.77,0.9995,1,1,1,2026-05-15 21:29:06
295,11.0,0.9993,1,1,1,2026-05-15 21:29:07
296,4.97,0.9995,1,1,1,2026-05-15 21:29:07
297,7.94,0.0084,0,0,1,2026-05-15 21:29:07
298,0.76,0.9997,1,1,1,2026-05-15 21:29:07
299,1.0,0.9986,1,1,1,2026-05-15 21:29:07
300,1.0,0.7881,1,1,1,2026-05-15 21:29:07
301,30.0,0.0088,0,0,1,2026-05-15 21:29:07
302,0.01,0.9997,1,1,1,2026-05-15 21:29:07
303,0.0,0.7507,1,1,1,2026-05-15 21:29:07
304,996.27,0.9854,1,1,1,2026-05-15 21:29:07
305,71.39,0.028,0,0,1,2026-05-15 21:29:07
306,194.0,0.0116,0,0,1,2026-05-15 21:29:07
307,0.92,0.908,1,1,1,2026-05-15 21:29:07
308,18.31,0.0825,0,0,1,2026-05-15 21:29:07
309,0.01,0.0323,0,0,1,2026-05-15 21:29:08
310,1.98,0.017,0,0,1,2026-05-15 21:29:08
311,24.18,0.0268,0,0,1,2026-05-15 21:29:08
312,3.59,0.0661,0,0,1,2026-05-15 21:29:08
313,59.15,0.1061,0,0,1,2026-05-15 21:29:08
314,45.81,0.033,0,0,1,2026-05-15 21:29:08
315,357.95,0.9051,1,1,1,2026-05-15 21:29:08
316,1504.93,0.9973,1,1,1,2026-05-15 21:29:08
317,1.0,0.9996,1,1,1,2026-05-15 21:29:08
318,1.0,0.0677,0,1,0,2026-05-15 21:29:08
319,1.52,0.1787,0,0,1,2026-05-15 21:29:08
320,294.9,0.9997,1,1,1,2026-05-15 21:29:08
321,99.99,0.9997,1,1,1,2026-05-15 21:29:08
322,1.0,0.9997,1,1,1,2026-05-15 21:29:08
323,78.0,0.9997,1,1,1,2026-05-15 21:29:08
324,9.8,0.0199,0,0,1,2026-05-15 21:29:08
325,1065.62,0.019,0,0,1,2026-05-15 21:29:08
326,9.99,0.0028,0,0,1,2026-05-15 21:29:09
327,0.01,0.9985,1,1,1,2026-05-15 21:29:09
328,19.95,0.5415,1,1,1,2026-05-15 21:29:09
329,7.9,0.0409,0,0,1,2026-05-15 21:29:09
330,39.45,0.9996,1,1,1,2026-05-15 21:29:09
331,6.96,0.0082,0,0,1,2026-05-15 21:29:09
332,1.0,0.9996,1,1,1,2026-05-15 21:29:09
333,982.11,0.0526,0,0,1,2026-05-15 21:29:09
334,149.15,0.0129,0,0,1,2026-05-15 21:29:09
335,0.0,0.7334,1,1,1,2026-05-15 21:29:09
336,1.0,0.9996,1,1,1,2026-05-15 21:29:09
337,1.15,0.0527,0,0,1,2026-05-15 21:29:09
338,11.85,0.0132,0,0,1,2026-05-15 21:29:09
339,144.01,0.0134,0,0,1,2026-05-15 21:29:09
340,52.0,0.005,0,0,1,2026-05-15 21:29:09
341,0.77,0.9996,1,1,1,2026-05-15 21:29:10
342,4.49,0.045,0,1,0,2026-05-15 21:29:10
343,1.18,0.2862,0,1,0,2026-05-15 21:29:10
344,37.32,0.9997,1,1,1,2026-05-15 21:29:10
345,0.01,0.999,1,1,1,2026-05-15 21:29:10
346,94.82,0.9996,1,1,1,2026-05-15 21:29:10
347,1.29,0.0096,0,0,1,2026-05-15 21:29:10
348,105.0,0.0213,0,0,1,2026-05-15 21:29:10
349,18.96,0.9995,1,1,1,2026-05-15 21:29:10
350,54.99,0.1214,0,0,1,2026-05-15 21:29:10
351,130.44,0.9997,1,1,1,2026-05-15 21:29:10
352,252.92,0.9997,1,1,1,2026-05-15 21:29:10
353,8.36,0.025,0,0,1,2026-05-15 21:29:10
354,99.99,0.9997,1,1,1,2026-05-15 21:29:10
355,18.0,0.9987,1,1,1,2026-05-15 21:29:11
356,106.55,0.9997,1,1,1,2026-05-15 21:29:11
357,316.06,0.9997,1,1,1,2026-05-15 21:29:11
358,1.59,0.9995,1,1,1,2026-05-15 21:29:11
359,33.59,0.9993,1,1,1,2026-05-15 21:29:11
360,648.0,0.9996,1,1,1,2026-05-15 21:29:11
361,0.0,0.9995,1,1,1,2026-05-15 21:29:11
362,12.6,0.0061,0,0,1,2026-05-15 21:29:11
363,172.32,0.9997,1,1,1,2026-05-15 21:29:11
364,51.37,0.9995,1,1,1,2026-05-15 21:29:11
365,99.99,0.9997,1,1,1,2026-05-15 21:29:11
366,1.0,0.9995,1,1,1,2026-05-15 21:29:11
367,30.0,0.0049,0,0,1,2026-05-15 21:29:11
368,1.75,0.9995,1,1,1,2026-05-15 21:29:11
369,925.31,0.9961,1,1,1,2026-05-15 21:29:12
370,35.89,0.0058,0,0,1,2026-05-15 21:29:12
371,519.9,0.2444,0,1,0,2026-05-15 21:29:12
372,173.66,0.0056,0,0,1,2026-05-15 21:29:12
373,1.0,0.9995,1,1,1,2026-05-15 21:29:12
374,8.0,0.9995,1,1,1,2026-05-15 21:29:12
375,1.0,0.9995,1,1,1,2026-05-15 21:29:12
376,71.65,0.0203,0,0,1,2026-05-15 21:29:12
377,127.14,0.9997,1,1,1,2026-05-15 21:29:12
378,23.36,0.9895,1,1,1,2026-05-15 21:29:12
379,50.0,0.0275,0,0,1,2026-05-15 21:29:12
380,8.7,0.0165,0,0,1,2026-05-15 21:29:12
381,426.4,0.9993,1,1,1,2026-05-15 21:29:12
382,204.27,0.9989,1,1,1,2026-05-15 21:29:12
383,1.0,0.004,0,0,1,2026-05-15 21:29:12
384,3.79,0.9789,1,1,1,2026-05-15 21:29:13
385,101.5,0.9984,1,1,1,2026-05-15 21:29:13
386,799.5,0.1191,0,0,1,2026-05-15 21:29:13
387,219.0,0.0979,0,0,1,2026-05-15 21:29:13
388,364.19,0.9896,1,1,1,2026-05-15 21:29:13
389,12.11,0.1544,0,0,1,2026-05-15 21:29:13
390,49.9,0.0067,0,0,1,2026-05-15 21:29:13
391,7.52,0.9997,1,1,1,2026-05-15 21:29:13
392,3.93,0.7559,1,1,1,2026-05-15 21:29:13
393,104.0,0.1006,0,0,1,2026-05-15 21:29:13
394,0.76,0.9992,1,1,1,2026-05-15 21:29:13
395,10.4,0.0227,0,0,1,2026-05-15 21:29:13
396,3.12,0.9435,1,1,1,2026-05-15 21:29:13
397,0.76,0.929,1,1,1,2026-05-15 21:29:13
398,1.0,0.9996,1,1,1,2026-05-15 21:29:13
399,29.99,0.0106,0,0,1,2026-05-15 21:29:13
400,10.49,0.2963,0,0,1,2026-05-15 21:29:14
401,1809.68,0.5584,1,1,1,2026-05-15 21:29:14
402,7.59,0.6952,1,1,1,2026-05-15 21:29:14
403,283.91,0.0656,0,0,1,2026-05-15 21:29:14
404,7.56,0.0293,0,0,1,2026-05-15 21:29:14
405,4.63,0.03,0,0,1,2026-05-15 21:29:14
406,4.6,0.011,0,0,1,2026-05-15 21:29:14
407,16.99,0.0123,0,0,1,2026-05-15 21:29:14
408,22.04,0.9974,1,1,1,2026-05-15 21:29:14
409,1.0,0.9996,1,1,1,2026-05-15 21:29:14
410,13.99,0.0239,0,0,1,2026-05-15 21:29:14
411,216.59,0.0088,0,0,1,2026-05-15 21:29:14
412,2.99,0.0366,0,0,1,2026-05-15 21:29:14
413,300.0,0.0172,0,0,1,2026-05-15 21:29:14
414,1.0,0.9997,1,1,1,2026-05-15 21:29:14
415,15.0,0.0333,0,0,1,2026-05-15 21:29:15
416,0.9,0.0204,0,0,1,2026-05-15 21:29:15
417,1.0,0.0193,0,0,1,2026-05-15 21:29:15
418,10.0,0.0594,0,0,1,2026-05-15 21:29:15
419,1.98,0.0193,0,0,1,2026-05-15 21:29:15
420,2.47,0.14,0,1,0,2026-05-15 21:29:15
421,1.0,0.9996,1,1,1,2026-05-15 21:29:15
422,1.79,0.0439,0,0,1,2026-05-15 21:29:15
423,39.9,0.9866,1,1,1,2026-05-15 21:29:15
424,1.98,0.0646,0,0,1,2026-05-15 21:29:15
425,2.0,0.9958,1,1,1,2026-05-15 21:29:15
426,25.0,0.9976,1,1,1,2026-05-15 21:29:15
427,0.68,0.999,1,1,1,2026-05-15 21:29:15
428,99.99,0.9997,1,1,1,2026-05-15 21:29:15
429,147.6,0.0133,0,0,1,2026-05-15 21:29:15
430,0.0,0.9997,1,1,1,2026-05-15 21:29:15
431,6.99,0.9486,1,1,1,2026-05-15 21:29:16
432,144.62,0.9994,1,1,1,2026-05-15 21:29:16
433,80.22,0.9994,1,1,1,2026-05-15 21:29:16
434,6.74,0.9997,1,1,1,2026-05-15 21:29:16
435,1.0,0.9997,1,1,1,2026-05-15 21:29:16
436,1.0,0.9994,1,1,1,2026-05-15 21:29:16
437,311.91,0.9199,1,1,1,2026-05-15 21:29:16
438,67.9,0.9995,1,1,1,2026-05-15 21:29:16
439,2.69,0.004,0,0,1,2026-05-15 21:29:16
440,3.96,0.0051,0,0,1,2026-05-15 21:29:16
441,549.06,0.7448,1,1,1,2026-05-15 21:29:16
442,55.54,0.0554,0,0,1,2026-05-15 21:29:16
443,3.05,0.0281,0,0,1,2026-05-15 21:29:16
444,96.0,0.0147,0,0,1,2026-05-15 21:29:16
445,33.45,0.0055,0,0,1,2026-05-15 21:29:16
446,156.5,0.0663,0,0,1,2026-05-15 21:29:17
447,56.0,0.0132,0,0,1,2026-05-15 21:29:17
448,261.87,0.6249,1,1,1,2026-05-15 21:29:17
449,8.99,0.0093,0,0,1,2026-05-15 21:29:17
450,3.77,0.0704,0,0,1,2026-05-15 21:29:17
451,1.0,0.0279,0,0,1,2026-05-15 21:29:17
452,73.27,0.0985,0,0,1,2026-05-15 21:29:17
453,39.45,0.9995,1,1,1,2026-05-15 21:29:17
454,360.0,0.9976,1,1,1,2026-05-15 21:29:17
455,99.9,0.9997,1,1,1,2026-05-15 21:29:17
456,2.99,0.0137,0,0,1,2026-05-15 21:29:17
457,277.53,0.4958,0,0,1,2026-05-15 21:29:17
458,11.0,0.0169,0,0,1,2026-05-15 21:29:17
459,80.9,0.998,1,1,1,2026-05-15 21:29:17
460,1.0,0.9997,1,1,1,2026-05-15 21:29:17
461,99.99,0.9997,1,1,1,2026-05-15 21:29:17
462,88.23,0.9997,1,1,1,2026-05-15 21:29:18
463,350.0,0.0297,0,0,1,2026-05-15 21:29:18
464,3.56,0.0153,0,0,1,2026-05-15 21:29:18
465,345.0,0.9689,1,1,1,2026-05-15 21:29:18
